#twotheta, yobs, ycal, bkg, diff
2.496000e+001,7.400000e+001,6.708103e+001,4.832871e+001,6.918970e+000
2.498000e+001,7.700000e+001,6.725582e+001,4.841983e+001,9.744178e+000
2.500000e+001,6.700000e+001,6.741213e+001,4.850985e+001,-4.121327e-001
2.502000e+001,7.200000e+001,6.754978e+001,4.859881e+001,4.450219e+000
2.504000e+001,5.900000e+001,6.766864e+001,4.868670e+001,-8.668638e+000
2.506000e+001,7.500000e+001,6.776400e+001,4.877352e+001,7.236005e+000
2.508000e+001,7.100000e+001,6.782817e+001,4.885929e+001,3.171832e+000
2.510000e+001,7.100000e+001,6.786124e+001,4.894401e+001,3.138755e+000
2.512000e+001,9.800000e+001,6.786213e+001,4.902768e+001,3.013787e+001
2.514000e+001,8.300000e+001,6.782699e+001,4.911032e+001,1.517301e+001
2.516000e+001,6.500000e+001,6.775635e+001,4.919192e+001,-2.756354e+000
2.518000e+001,5.800000e+001,6.765125e+001,4.927250e+001,-9.651252e+000
2.520000e+001,7.400000e+001,6.751292e+001,4.935206e+001,6.487081e+000
2.522000e+001,7.600000e+001,6.734278e+001,4.943061e+001,8.657224e+000
2.524000e+001,7.000000e+001,6.714240e+001,4.950815e+001,2.857598e+000
2.526000e+001,6.600000e+001,6.691352e+001,4.958468e+001,-9.135197e-001
2.528000e+001,6.200000e+001,6.665797e+001,4.966023e+001,-4.657970e+000
2.530000e+001,6.900000e+001,6.637769e+001,4.973478e+001,2.622311e+000
2.532000e+001,5.000000e+001,6.607469e+001,4.980835e+001,-1.607469e+001
2.534000e+001,6.200000e+001,6.575104e+001,4.988094e+001,-3.751037e+000
2.536000e+001,6.400000e+001,6.540884e+001,4.995256e+001,-1.408837e+000
2.538000e+001,7.100000e+001,6.505021e+001,5.002322e+001,5.949790e+000
2.540000e+001,6.800000e+001,6.467728e+001,5.009292e+001,3.322719e+000
2.542000e+001,5.800000e+001,6.429216e+001,5.016166e+001,-6.292160e+000
2.544000e+001,7.900000e+001,6.389693e+001,5.022946e+001,1.510307e+001
2.546000e+001,7.100000e+001,6.349364e+001,5.029632e+001,7.506363e+000
2.548000e+001,6.300000e+001,6.308427e+001,5.036224e+001,-8.427326e-002
2.550000e+001,7.100000e+001,6.267077e+001,5.042724e+001,8.329230e+000
2.552000e+001,5.300000e+001,6.234146e+001,5.049131e+001,-9.341465e+000
2.554000e+001,5.400000e+001,6.192551e+001,5.055447e+001,-7.925508e+000
2.556000e+001,8.100000e+001,6.151075e+001,5.061671e+001,1.948925e+001
2.558000e+001,5.900000e+001,6.109879e+001,5.067806e+001,-2.098792e+000
2.560000e+001,4.700000e+001,6.073401e+001,5.073850e+001,-1.373401e+001
2.562000e+001,7.800000e+001,6.033221e+001,5.079806e+001,1.766779e+001
2.564000e+001,5.800000e+001,5.993741e+001,5.085672e+001,-1.937407e+000
2.566000e+001,5.900000e+001,5.955078e+001,5.091451e+001,-5.507783e-001
2.568000e+001,7.000000e+001,5.917340e+001,5.097143e+001,1.082660e+001
2.570000e+001,6.000000e+001,5.880622e+001,5.102748e+001,1.193785e+000
2.572000e+001,5.200000e+001,5.845008e+001,5.108266e+001,-6.450085e+000
2.574000e+001,6.300000e+001,5.810574e+001,5.113699e+001,4.894262e+000
2.576000e+001,5.000000e+001,5.777380e+001,5.119047e+001,-7.773800e+000
2.578000e+001,6.200000e+001,5.745479e+001,5.124311e+001,4.545212e+000
2.580000e+001,5.600000e+001,5.714912e+001,5.129491e+001,-1.149118e+000
2.582000e+001,5.600000e+001,5.685710e+001,5.134589e+001,-8.571022e-001
2.584000e+001,5.100000e+001,5.657896e+001,5.139603e+001,-5.578960e+000
2.586000e+001,5.400000e+001,5.631482e+001,5.144536e+001,-2.314821e+000
2.588000e+001,6.700000e+001,5.606473e+001,5.149387e+001,1.093527e+001
2.590000e+001,5.200000e+001,5.582864e+001,5.154158e+001,-3.828641e+000
2.592000e+001,6.200000e+001,5.560645e+001,5.158849e+001,6.393546e+000
2.594000e+001,5.900000e+001,5.539799e+001,5.163460e+001,3.602011e+000
2.596000e+001,6.200000e+001,5.520301e+001,5.167993e+001,6.796992e+000
2.598000e+001,6.700000e+001,5.502122e+001,5.172447e+001,1.197878e+001
2.600000e+001,6.300000e+001,5.485228e+001,5.176824e+001,8.147721e+000
2.602000e+001,6.000000e+001,5.469581e+001,5.181124e+001,5.304192e+000
2.604000e+001,4.900000e+001,5.455139e+001,5.185347e+001,-5.551385e+000
2.606000e+001,3.900000e+001,5.441856e+001,5.189495e+001,-1.541856e+001
2.608000e+001,5.700000e+001,5.429687e+001,5.193567e+001,2.703133e+000
2.610000e+001,5.100000e+001,5.418581e+001,5.197565e+001,-3.185807e+000
2.612000e+001,5.700000e+001,5.408488e+001,5.201489e+001,2.915124e+000
2.614000e+001,5.500000e+001,5.399356e+001,5.205339e+001,1.006441e+000
2.616000e+001,5.100000e+001,5.391134e+001,5.209117e+001,-2.911338e+000
2.618000e+001,5.200000e+001,5.383769e+001,5.212823e+001,-1.837692e+000
2.620000e+001,5.700000e+001,5.377210e+001,5.216457e+001,3.227896e+000
2.622000e+001,5.300000e+001,5.371406e+001,5.220020e+001,-7.140639e-001
2.624000e+001,5.300000e+001,5.366307e+001,5.223513e+001,-6.630703e-001
2.626000e+001,5.200000e+001,5.361863e+001,5.226936e+001,-1.618634e+000
2.628000e+001,5.300000e+001,5.358028e+001,5.230290e+001,-5.802793e-001
2.630000e+001,5.000000e+001,5.354755e+001,5.233576e+001,-3.547547e+000
2.632000e+001,5.300000e+001,5.352000e+001,5.236794e+001,-5.199957e-001
2.634000e+001,5.200000e+001,5.349720e+001,5.239945e+001,-1.497201e+000
2.636000e+001,4.500000e+001,5.347876e+001,5.243029e+001,-8.478760e+000
2.638000e+001,4.200000e+001,5.346429e+001,5.246046e+001,-1.146429e+001
2.640000e+001,4.100000e+001,5.345342e+001,5.248999e+001,-1.245342e+001
2.642000e+001,5.100000e+001,5.344582e+001,5.251887e+001,-2.445822e+000
2.644000e+001,5.600000e+001,5.344116e+001,5.254710e+001,2.558836e+000
2.646000e+001,5.900000e+001,5.343915e+001,5.257470e+001,5.560853e+000
2.648000e+001,5.600000e+001,5.343949e+001,5.260167e+001,2.560509e+000
2.650000e+001,5.200000e+001,5.344194e+001,5.262801e+001,-1.441936e+000
2.652000e+001,5.600000e+001,5.344624e+001,5.265374e+001,2.553762e+000
2.654000e+001,4.300000e+001,5.345218e+001,5.267886e+001,-1.045218e+001
2.656000e+001,5.400000e+001,5.345954e+001,5.270336e+001,5.404579e-001
2.658000e+001,5.000000e+001,5.346815e+001,5.272728e+001,-3.468149e+000
2.660000e+001,4.900000e+001,5.347782e+001,5.275059e+001,-4.477824e+000
2.662000e+001,5.900000e+001,5.348841e+001,5.277332e+001,5.511591e+000
2.664000e+001,5.400000e+001,5.349976e+001,5.279547e+001,5.002379e-001
2.666000e+001,4.300000e+001,5.351175e+001,5.281704e+001,-1.051175e+001
2.668000e+001,4.700000e+001,5.352426e+001,5.283805e+001,-6.524263e+000
2.670000e+001,4.900000e+001,5.353719e+001,5.285849e+001,-4.537188e+000
2.672000e+001,5.100000e+001,5.355043e+001,5.287838e+001,-2.550434e+000
2.674000e+001,4.700000e+001,5.356391e+001,5.289771e+001,-6.563914e+000
2.676000e+001,4.700000e+001,5.357755e+001,5.291650e+001,-6.577554e+000
2.678000e+001,5.700000e+001,5.359129e+001,5.293475e+001,3.408714e+000
